label	tweet
anger	hah bodoh kali kau pantek
anger	emosi mlu nnti jd burag loh
anger	yaa kann ga ngerasa cape cuman larinya jadi lemot bangett. emosi gue
anger	shipper sebelah kalo ga suka sama noren ga ush mampir uda tau benci sama noren malah baca au nya kocak bngt lo
anger	tak sempat la ni nak balas dendam minggu depan. mesti sakit dh hilang time tu
anger	islamofobis/buzzerp, yaitu: 1. para *njing sepilis dan komunis, pelaku maksiat yg ingin mencari pembenaran atas kelakuannya. 2. para b*bi kafir, pecundang debat teologis scr akademis yg ingin melampiaskan dendam kekalahannya.
anger	iya juwi emosi nih gw pagi2
anger	aku benci kata jenuh
anger	gw benci sekolah
anger	bacoot kadrun emang bangsat
anger	bangsat masih berani main sosmed
anger	ajarkan kepada anak lelaki; tolong opininya jangan kelewat tolol.
anger	km nyinyirn q sma antek2 nya berharap q marah tenang q punya jurus jitu q bales pake solawatan dzolim kesel sendiri kan hahaha
anger	gausah kaget kalau tiba2 gue jadi benci sama sodara gue. dasar orang gatau diri. benalu. kacang lupa kulit. bajingan sama sodara sendiri.
anger	hahah bangsat
anger	ha tuh lu doang, tau definisi adek ga sih lu ilah bikin emosi.
anger	nnton sis, masih on going. emosi mulu yah, sekarang nntonnya udahlah ikutin aja
anger	kenapa agama yg lurus dr tuhan yme bs menjadi bengkok hingga bermacam2? sebabnya krn ada org2 bodoh dan sesat spt itu. sdh banyak dr zaman dl, namun motifnya tetap sama yaitu utk kepentingan perut dan sekitarnya.
anger	dpt mimpi kok mendukung keparnoan, bangun2 bangsat bgt bete au ah, mending ga usah tdr apa ya
anger	haah .. belajar chargeman a1 sekali kerja amik former kat kilang jadi worker .. dengan orang atas yang kejap okay kejap tak okay nak ikut cakap dia macam kerja tak pernah siap kimak .. semua kerja siap tapi bodoh nak memekak jugak .. baruah
anger	woii bodok.. klo semua komplain, beropini,berargumen,berpendapat dkk mngenai kbijakan pemerintah. buat apa pileg dlakukn?? goblok di pelihara. lu lakukan itu malah buat anggota legislatif terhormat itu makan gaji buta.. tolol. pendapatan aggota dewan itu 10x gaji umr tiap bulan
anger	terserah dan masa bodoh jika kamu tidak suka atau bahkan membenciku . rasa kesalku belum juga hilang
anger	jangan sampai rakyatÂ benci
anger	gue kira di menfess sblmnya lu mau ngejokes trnyata bego beneran wkwk lo ga tau definisi ˜adik ™ atau gimana? semua org nyebut saudara kandang yg lebih mudanya ya ˜adik ™, ga usah nyuruh2 org buat ngaku deh, lo doang yg mikir bgtu bego! ga jelas lo
anger	marah btol bang
anger	auto belit apa? mmg ah dia org marah bila kena kencing oleh gov india. indira gandhi gunakan perkara ini sbg peluang untuk politikus dia, itu yg menyebabkan ltte bunuh indira gandhi. ko pergi baca sejarah kenapa ltte tu diwujudkan. tak sama langsung mcm taliban.
anger	cok pagi pagi dibuat emosi
anger	bersabar dengan emosi yang ada di dalam diri ini.
anger	benci tasik, benci jakarta
anger	sepertinya opung msh dendam bu
anger	aduh bangsat ganteng banget lagi ni orang
anger	paling benci kalo lagi diem terus panik sendiri gatau bingung kenapa :)
anger	kalau cerita kat laki aku pasal mimpi malam td mesti kena marah
anger	bangsat ntarnta pasti nangis haha pengecut nada tolol mati aja lo
anger	bodoh punya statement ..baik gi minum arak ..melacur ..main judi ..baru betul thrill
anger	((ngaku aja)))) lah bego ngajak2 gak nder yg nganggep adek cuma anak kecil lu doang
anger	gajadi soft malah emosi.
anger	elu jangan bikin gue marah
anger	jarina hasebe hobi ngomel dan marah marah.
anger	capee lagi puasa ada aja yg dibikin marah nya tu
anger	anjinglah brengsek bangsat
anger	emosi yaa........
anger	tahulah nak luah kat siapa. terasa bodoh gila
anger	benci juga karakternya cheol. kek itu uda keliatan han sakit hati, knp harus ditegesin dlu baru peka??!! ga mempermasalahkan his feeling towards nu, tp the way he treated han that i hate the most. dipermainin bgt haha, jerk.
anger	poin 1-2 okelah, poin selanjutnya itu lho, gw cowok aja marah bacanya
anger	nape lo yg emosi?
anger	ya kalo mau poligami ikuti sunah rosul tunggu istri pertama meninggal dulu dan lu nikah ma nene2 yang udh tua dan miskin buat diurus bukan mau enak nya doang tolol
anger	betul org cakap, kalau tak bodoh bukan bn namanya..
anger	kalau bad day sangat pun takde hak nak emosi kat orang lain. tak professional!
anger	pagi pagi bangun dah fucked up. bodoh
anger	percaya tapi benci gua kalo suka diem doang kaga ngomong lgsg kek gua kaga gigit elah dan lu cowo yg gentle dong masa kalah sama gentle jen
anger	akhirnya bangun siang. tp si bodoh ini kaga solat subuh
anger	aku pura-pura tidak tau saja kebohonganmu yang terhakiki, entahlah aku pura-pura bodoh saja nanti juga akan ketahuan sendiri biar waktu yang menunjukkannya
anger	tetep aja namanya selingkuh kok ya tolol banget. kakean alesan
anger	nah ini yg gw ksl gw si b aja lah liat si bright sm tu soalnya kek phinong bet tpi yg gw benci klo kek gt suka ngelunjak anjr fans nya mn ngejelek"in iwin lgi trs pasti udh kek berasa real bet pdhl cmn fanservice
anger	aku dendam sama ntu dua orang itu.
anger	sange sama perempuan lain? puasa. tahan diri. jaga pandangan. bukan poligami bangsat. lo miskin tapi gegayaan poligami tuh gimana ceritanya?? nanti istri jelek ga keurus karena lo ga kasi duit langsung ditinggalin. heran gue kenapa laki-laki punya otak ga dipake dah
anger	dulu waktu smp saya jengkel banget sama ibu saya, mau pergi naik bus dari jombang ke bojonegoro (jawa timur) pake dianterin ke terminal bus. padahal pinginnya naik angkot saja.
anger	eh bukan jadi mangsa maki atau kena marah but concerned pasal tak bercakap. tetiba.
anger	tolong jangan benci fany, fany baik-baik kok gak makan orang kok
anger	gabole marah  nanti cepett tua
anger	si gwinam?? kayaknya dia punya keinginan hidup yg tinggi kan ada dendam sama chongsan
anger	permulaan yang bangsat untuk febuari 2022
anger	baca komenannya sungguh menguras emosi asu
anger	lagian sih kemarin siapa sih yg milih ini gubernurr ???? wong dudul koyok ngene .
anger	kata mama harus baik samaa orang lain tpi kalo orang itu ngelunjak yaudah diemin aja tapi gue orangnya ga tega an.. jdi ya gtu, jatohnya malah tolol ngebantuin orng yg ga bisa usaha sendiri
anger	bahkan ada dari tweet yang maksudnya supportive. parahnya tuh nggak dibarengi dengan nanya baik-baik atau diskusi, tapi langsung ngegas. bener-bener jadi ruang marah-marah aja
anger	iya ituu benci bgt, makin hari ada aja peraturan ga jelas kek gini huhu
anger	jgn la marah dia. lesen l pun dia takde lagi tu.
anger	mak yng darah tinggi andin makk, knp mamak yng marah marah, lanjutkan makk
anger	tolol, namanya adek ga harus anak kecil. adek ya, yang posisi lahirnya setelah kakak, mau jecil atau gede ga ada urusan.. dongo
anger	bangsat bener krn pelakunya adalah guru yg seharusnya mengayomi
anger	diorang ni semua dah lama nak borak dengan kau. tak fun kata diorang, kalau tak dengar kau buat lawak bodoh satu hari.  tu dulu la jepp. haha.  kitorang dengar kau tengah on satu projek. big project. semua bercakap pasal kau jo.  takde la. benda takde pape lagi. 
anger	tiati bego beneran
anger	yhh marah  mulu lo, cepet tua mampus
anger	bloon. mana ada yg mau kalah. mang bego anjing kntl
anger	mun sepatah ku becakap, kau utuk. baik tah ku diam. pastu kau marah pulang aku diam? ngak paham
anger	aku benci kau..
anger	contoh orang tolol bin dongok
anger	selama perintah suami tidak melanggar syariat. hormat tapi nggak tolol. makanya islam buat org yg mau berfikir..
anger	ahahaaa khas buzzerp jokowi nuduh org mau, dituduh marah
anger	lah bego, itu all of us are dead kali gwinam
anger	aing macan marah?
anger	bangsat banget
anger	padahal gw stay di lokasi jg dianggurin lol buat apa lu nge-hire org luar klo kyk gini ceritanya tolol jd ga pengen gw duitnya mereka gajelas bgt, bikin stress doang, padahal mah ya tinggal beresin doang si, proyek dah kelar juga, dibikin pusing amat
anger	tolong leon jangan sampe kebawa emosi ya
anger	benci banget gue sama ini orang.
anger	makanya pada ngaji yg bener biar gak bego..
anger	ledik jancuukk tai anjingg setann tolol babi monyett
anger	supaya generasi yg sekarang jadi bodoh..kan mudah di begoin
anger	atheis punya rasa benci? kirain umat beragama aja. lalu apa bedanya :))
anger	trus hubungane opo bangsat!
anger	bangsat, ngagetin aja
anger	emosi mulu kek ahok
anger	pebenda lah org penuh dgn emosi last episode, time tu jugak dia nak sumbat ppl
anger	gue benci hari sabtu
anger	gatau,gue benci banget
anger	suka nih yg bikin emosi gini jadi tag aku dong kack
anger	aneh banget bego lu
anger	jujur shock di bagian bangsatnya sih, biasanya kayaknya drake doang ga ampe bangsat
anger	we ustzh marah sbb takde orang masuk kelas pai lepastu rupanya dia yang salah masuk link
anger	buat dan kalo mau nyerang pemerintah itu janjian dulu gitu..keliatan pada bego nya kalo begini !!??
anger	gw bukan paling mulia tp gw manusia normal yg jijik liat kaum homo. lagipula di agama di larang tolol. masih aja lu ngeyel. kl lu masih blm benar jgn bgt kata2 lu. kaya lu uda benar aja homo.
anger	ya allah marah betul tengok video ni
anger	semangatt walaupun dalam hati berkata bangsat
anger	sebb tu kalau org2 macam ni nak jalan aku buat x tahu je, selamba je jalan. kau x de hak nak halang2 jalan org. kecuali ambulans. bodoh
anger	aneh ga sih? padahal dia lebih sering keluar berdua diem-diem ga ngajak aku tapi aku gada marah samsek krnapa giliran aku minta tolong buat ditemenin beli sesuatu dianya marah anjim aowkaowkaow padahal kan skornya juga 2:0,5 klo dipikir-pikir
anger	hiyahiyahiya. terpesona, ku pada pandangan pertama. dan tak kuasa menahan emosi.
anger	dipakai untuk acara pernikahan tuh, bodoh.. kunjungi ke tkp jangan cuma maen jempol aja luu.. keree gk punya ongkos, gw bayarin dah, gw mah gitu orangnya
anger	padahal yang suka marah marah itu lo
anger	bukan pens emyu namanye kalo gak ikut2an tolol
anger	aa maaf pagi pagi malah marah marah
anger	asli asli tolol bat gw yaampun
anger	lu yg tolol anjir
anger	marah mulu perasaan
anger	bodoh betul g la check org yg xcden tu dulu
anger	ntah tolol beneran atau 'pura-pura tolol' yang masih butuh informasi tentang saya ketika semua akun sosial saya terbuka untuk umum.
anger	makanya anjir gue emosi, kesel banget nontonnyaa
anger	bener, tpi juga bikin kesal lama2 liat mukanya
anger	main pakai first e pon kalah gak dengan kelab bodoh. apa bala la m.u ni
anger	bodoh banget gak sih
anger	pagi2 kok udah emosi
anger	ya gimana ya bangsat ya gitu gasii
anger	ga jadi deh, aku mau kak mark aja biar kamu emosi.
anger	jangan biarkan satu hal yang bodoh ngehancurin kebahagiaan lo seharian.
anger	lah ngapa jadi bawa sby? bro pada hakikatnya sah2 saja apabila ada orang yg muji maupun benci asal alasannya konkret dan tdk munafik ngomong apa ngasi gambar apa.. jaka sembung bawa kembang ga nyambung sayang
anger	gue punya facebook ,coba buka bem ternyata sama aja banyak virus adm, wabahnya nyebar, ini manusia bodoh perlu banyak didikan, ampe urat malu putus kurang didikan
anger	orang bodoh jadi ustad pengikutnya jadi bodoh semua
anger	khai lu bego bgt tolol brengski oon gblok aaaak ksel bgt gw kesell
anger	kebawa emosi
anger	dari awal gasuka karakternya nu, knp dia bisa seserakah itu?? dan bodoh bgt segitu butanya. this is why i called him a jerk
anger	mu tolol
anger	rasa macam terlalu bodoh untuk law ni, nk ambil course lain lagi la bodo keje grab je la
anger	emosi bgt klo ada yg bilang cakep harus putih. makan taii!
anger	anjir bsbsnya mimpi iparku ternyata jelmaan siluman babi, y tp kalo dipikir2 ada korelasinya si sm sikap, sifat dan tingkah lakunya yg ga layak disebut manusia wkwk cok baru kali ini aku bisa benci banget sama manusia
anger	dah bodoh dah relax nanti sendiri sakit
anger	lo yg menganggap poligami adalah solusi dari perzinaan. oiya dan ngga semua laki2 mau poligami juga. poligami ngga gampang. banyak orang yg benci poligami karna manusia2 kayak lo. inget ya, tanggung jawab poligami itu berat.
anger	pickaw punya dendam kek nya
anger	bokap: ngelarang anak & istri nunjukin rasa jengkel also bokap: kalo jengkel nada ngomongnya ketus, banting pintu, narok barang kasar
anger	si bodoh, minta monthly salary gak ngitung dulu kalo diannual ternyata sama aja sana sama sini pas di approved bingung kelabakan
anger	mungkin dia pengikut pimpinan pesantren yg cabul itu makanya bisa bikin opini se tolol gitu
anger	bodoh ajgg
anger	bapak pengkhianat negara bergaduh dengan bapak songlap negara dah tikam belakang ph nak jadi good cop  pulak lawak bodoh!
anger	diselingkuhin mereka belum sampe pacaran sih, tapi main belakang aja. diem diem gitu tapi ga mulus, bego banget mereka pdktnya jadi ketauannya cepet
anger	anjr kesal bgt sm yg suka curi", semangat ashh smoga lancar jd bisa di td punya si pencuri mana judulny dari yg keren jdi cuman bridge, tree, fragment
anger	sabar sabar gak boleh marah
anger	mestinya yg benci pemerintah di obatin sampe sembuh,tdk hanya covidnya yg sembuh tapi sakit hatinya juga sembuh..
anger	1. jangan main klarinet. 2. jangan pernah melambaikan lampu senter ke depan dan ke belakang terlalu cepat. itu dianggap undangan. 3. jangan pernah berhenti menatap sekitar. 4. jangan makan keju, kecuali yang kotak. 5. jangan pakai topi sombrero. 6. jangan pakai baju bodoh.
anger	bangsat dah ini
anger	yang no 3 "izinkan suami berpoligami,untuk mencegah perzinahan" aduhh goblok banget ya jadi orang, jadi selama ini pernikahan itu zina gitu? dan poligami itu bagus & dianjurkan diagama gitu? helloww diagama gaada tuh 1 kontol harus 2 lubang. bajingan bangsat lo
anger	dah emosi og dari tadi wkkw
anger	say! gimana cara mainin perasaan cowo dan nantinya si cowo kek nyesel udah ninggalin cewenya gitu? kata temenku si gitu biar berpikir si cowonya ninggalin si x adalah pilihan bodoh 
anger	klo naksir ada si nder cuma setiap mau dideketin aku selalu ngasi lampu merah, jd pada mundur sendiri sendiri. aku disuruh sekolah dlu sm ortu, aku benci penolakan maka dari itu aku kasi lampu merah aja drpd pas nembak aku tolak, aku takut mereka sakit hati
anger	taik gua benci twitter, suka ke refresh sendiri bangsaat, padahal tadi ada tweet lucu jadi gak kebaca
anger	konyol bego
anger	boleh benci tapi jangan bodoh
anger	salah sendiri baperan, tolol!
anger	dah hari ke 6 pun still kena marah pasal panadol
anger	bangsat bener juga
anger	pengen keliatan pinter tapi tolol
anger	tolol bgt nilo jilat tai sebdiri guwvtakut siiii bayangin omar marahh eumm
anger	luv emyuu tolol sumpah
anger	nah ini satu lagi cebong tolol nongol..
anger	klo mau di suruh mati berarti kamu tolol
anger	oh pantes orang mengakui bodoh og. panjang umur dualisme ckck
anger	mereka ini ga pernah liat orang negro apa ya, rasis banget bangsat
anger	gua benci dimana setiap gua mulai suka sama orang kenapa orang itu seakan-akan menghindar
anger	biarin marah banget aing kali ini
anger	pagi tiba tiba baca banyak berita di tl cebong ngamuk ngamuk dan cari banyak alasan tentang dewa nya tidak di hargai luhut saat pidato.cebong menghibur diri pura pura bahagia.cebong cebong bodoh idiot kalian itu permanent.mentang mentang gratis loe ambil semua bodoh nya.idiot
anger	lagunya sakusa habis diputusin atsumu habis itu misuhin lagu "yakali ajg gue bisa benci lo. yakali ajg gue cari yang baru. gue maunya lo gak yang baru gak dengan benci lo"
anger	soalnya dari kecil udah dicekokin kalo yang cakep itu yang kulitnya putih, alias tolol
anger	kesel bgt anjir pagi2 udah ribet lu bangsat
anger	bodoh
anger	jengkel bgt sama call centernya buru2 bgt closing nya, padahal masalah belom kelar. parahh!! oia kan sicepat namanya
anger	kegaduhan yg ditimbulkan dan efek demo bersilit silitnya sampe skrg ga ilang2. meski pd akhirnya mrk marah krn kecewa jebul sing didukung malah pada dadi mentri kabeh
anger	janji dapat dedak bodoh pun bodoh la..
anger	ini yg kelimaa anjing sial mulu dalam seminggu bangsat ntar besok apa lagi nih taiik
anger	sdh banyak masyarakat yg tau gerak-gerik pembohong penjual dalil si bangsat provokator hh pemecah belah anak bangsa.. mmg polisi hrsnya sgr menjebloskan bui bajingan jnj
anger	minta nak makan macam2 minta la suami ko. minta org lain suruh beli pulak. bodoh
anger	bodoh lah takda flight terdekat
anger	masi pagii tahan jangan emosi:)
anger	bisa-bisanya mark gak calling gue /marah
anger	emyu yg kalah kok aku yg emosi yaa?
anger	aku yakin mereka bakal jengukin sih tapi kita ga tau ya mereka mau share apa enggak. yang penting jm ga sendirian lagi ahh copit bangsat. minta maaf lu bikin mimi sakit dan sndirian
anger	hukum bangsat hanya buat bangsat !
anger	lagii rame kalo suami boleh pukul istri yaa. kalo pukul bercanda ga bikin lebam aku sih biasa ajaa tp aku tipe org yg gasuka disakitin jd kalo aku dipukul kupukul balik soalnya sayah semasa hidup gapernah pukul aku marah aja ga pernah krn ak anak satu2nya
anger	bodoh banget dah checkout maybelline lupa pilih hadiah,
anger	gamau eskrim mau balas dendam sama om jev anjg maap kak esmosi jiwa - gpp, lagi, om jevan shibal..
anger	di satu sisi, kalopun emang proses kemaren gue gagal, gue gapapa banget minum obat lagi. yang penting kelar. please banget. gue udah benci banget di situasi di mana gue cuman keep rasa sakit sendiri dan gue susah kemana mana. benci banget.
anger	dari 15 match competitive, yg menang cuma 4, tolol mending uninstall lagi aja udah, emang gk berbakat
anger	gue masih jengkel yaa sama temen temen sekelompok gue
anger	slogan tu dah boleh buang, ganti dengan "semua polis adalah bangsat"
anger	wkwkakak faker tolol ye
anger	setelah kucing gua udh di steril selama 13 hari itu udah dikurung dirumah, dan hari ini kabur dong main lagi ke rumah si tetangga sinting ini langsung gua kejar eh berharap gak ketemu dia tau2 malah sapaan ketemu amnjing bener dah bangsat
anger	baru juga reda emosi nya udah emosi lagi
anger	sorry bang gue paling benci kalo ada yang bilang dia lebih cape dari gue
anger	masih pagi, udah marah marah aja
anger	frik ambis gajelas, males gua, merasa bodoh gabisa nyimbangin asu, kesannya jelek mulu gua padahal rata rata udah oke
anger	jangan buat gua spill lu di rl ya njir, gua udh sabar udh hps twt udh ganti username tapi lu kayaknya emg nyari ribut sm gua ya cwek bangsat
anger	tau apa yg buat gue marah? lg baca au tbtb ke out sendiri
anger	bego bgt knpa maksa ya
anger	mmf yh say! menanyakan hal bodoh xixi
anger	parahh bangsat banget ya, planga plongo dongo beleng2 bangsat2 yg cr makan dr menghiaap darah orang dn nyawa orang
anger	genius kang taehyun happy birthday anak lanang sehat terus jan sakit klo sakit aku marah kangen tyunn sulap, jg pengin tyunn ada konten masak trus upload di yt gitu _ __
anger	kenapa sih gw malah download valorant lagi, tolol
anger	ni sume sbb rakyat bodoh!! pi pilih lagi org yg menyusahkan rakyat tu watpe?? asal melayu isle tu betul la?? hanggok hang!
anger	jujur gue malu jadi orang indo, kok bisa tinggal senegara sama orang2 bodoh kyk gini semua
anger	awan lu dendam ama gua ngomng wan
anger	lagi kesal gegara kelompok
anger	bilangnya realistis butuh duit sbnrnya lebih ke oke gw cari yg banyak duit gt ga si org materialistis tuh. iinget segalanya butuh uang tapi uang bukan segalanya. agak emosi emg sis kalo sok sok realistis tp trnyata materialistis
anger	gue benci sama lo!
anger	kenapa pagi-pagi gini udah ada yang bikin emosi
anger	wkwkwk tolol
anger	karena saya egois dan bego
anger	setan kribo ini model 2nya kyk si murtad saefudin ibrahim yg skrg pendeta yg selalu mendeskriditkan islam..si setan kribo klo mo murtad, murtad aja sekalian..jd umat islam cm bikin masalah n nebar fitnah..klo pemahaman agama islamnya dia bener gak kyk gini narasi si bangsat ini
anger	masih pagi gue dah emosi.
anger	ternyata gue di block sama cowo kr di ig gegara dia pas minta foto yg aneh" ke gue trs gue tolak, lagian minta foto yg aneh" mulu dikata gue bego apa
anger	anak cucu para bangsat bangsa?
anger	hal yang paling gue benci dari sebuah proses adalah.. nungguin. dan lebih menyakitkan adalah nungguin hasil di kala badan masih belom membaik. capek banget tiap hari harus bergantung sm ibuprofen dan obat-obat lainnya biar sakitnya berkurang.
anger	menghindari perzinahan kok poligami sih tolol banget goblokkkkk. makanya titit nya gausah gatel liat perempuan tetangga.
anger	marah
anger	emosi gue emosi asu
anger	malah ke kirim yg ini jancuks bau" bakal marah:)
anger	terlalu cuek dan capek berantem terus, tiap gue complain karna dia terlalu sibuk dan cuek malah dia yg marah, like what??
anger	marah muluu
anger	selamat pagi mari memulai hari dengan emosi yuk mampir~
anger	masih pagi udah emosi
anger	apasih bawa2 tahun, tolol
anger	anjing gue baru nonton all of us dead bawaannya emosi bgst
anger	haduh jangan pjj dong, udah mulai ngerti pelajaran tiba tiba pjj jadi bego lagi ntar
anger	bener bgt sih. banyak bgt yg benci ama gw. salah satunya pas gw kerja di penulis. ada nih 1 tmn gw yg didepan baik, dibelakang malah bilang ke kakak ipar gw kl dia gk suka gw, malah cenderung ke benci. pas gw diputus kontrak, dia tuh seneng bgt njir.
anger	gua steril kucing aja abis 1 juta 3 ratus 80 ribu men bangsat mahal kan tapi karna kucing gua udah tua jadi reaksinya lama bgt masih suka spray urine sembarangan, suka teriak2 minta keluar nah itu yg bikin gua pusing
anger	kalau tak p blaja tak p keje jauh, tak bergaul. rasanya aku pun benci ngan perangai aku thanks everyone sebb jadi contoh terbaik :)
anger	daftar orang tolol dan idiot yang menolak kemajuan peradaban indonesia.. nanti akan dicatat sejarah penolak kemajuan indonesia, fotonya di pajang di tempat sampah
anger	gue suka bingung, orang tuh kenapa sih caper banget mau atensi orang dengan ngehate sc? barangkali lo baca tweet'an gue nih, tolong ya lo baca, kalo lo gak suka sama mika sok ngomong to the point gak usah kek kontol sukanya ngehate pake sc kayak orang tolol, pecundang. :)
anger	tolol banget ini mah mana 17 lagi yang udah liat
anger	kalo di sinetron itu yg jahat jahat banget yg baik bego banget --"
anger	twt w mulai nga jelas ni keknya, mulai sedih, marah, kesel, nyinyir, lambe turah. bukan kind human lagi:(.. ok let's go ke pak ayi, aku ngobatin mental ku dulu gais
anger	fagg benci bgt gue liatnye.
anger	gua benci sama orang yg hidupnya kaya mp3, banyak lagunya
anger	bisaa dong yah! jgn bikin emosi dulu pagi-pagi !!
anger	saya sungguh benci akan seto , dia ialah seksual anjing pokok pelukan sahaja
anger	kalo marah balik kek anjg lah
anger	serius gue kangen banget wkwkw sampe nangis kadang kepikiran. tapi sekarang gue lg benci banget sama tuh agensi. sadar ga si kalo lu diem aja nih idol lu yang kena imbasnya. percuma diem  buat redain masalah, pastinya di sepanjang karir jake nih masalah bakal di ungkit
anger	kita tengah bersiap dia call, memang kena marah la duit pun takde, hutang apa pun tak tahu la
anger	siap tolol
anger	yg membuat rakyat tdk mempercayai penguasa: 1. sering bohong pemimpinnya 2. melarang rakyat melakukan sesuatu tp dia sendiri yg melakukannya 3. terlalu vulgar mempertontonkan kebodohan dan mengaggp rakyatnya semua bodoh
anger	benci bat sama kumpulan ibu ibu
anger	pinjem duit di leasing, giliran ditagih marah ke penagih bayar listrik nunggak, giliran petugas pln cabut fasilitas listrik, eh petugas pln malah dikeroyok. pesan barang cod, enggak sesuai ekspektasi, malah kurir yang disuruh bayar. wow, luar biasa!
anger	salahnya dimana ketika harus marah pada hal yang salah?? sedang kebaikan kebaikan yg juga ada pada video engkau potong potong.. gak kelas komisaris ndul..
